Time(s),SeqNum,Digital0,Digital1,Digital2,Digital3,Analog0,Analog1,Analog2,Analog3,Analog4,Analog5
0.12,8,1,1,1,1,512,1,503,508,0,0
0.121,9,1,1,1,1,512,1,499,509,0,0
0.122,10,1,1,1,1,513,2,502,508,0,0
0.123,11,1,1,1,1,512,1,502,509,0,0
0.124,12,1,1,1,1,511,0,511,507,0,0
0.125,13,1,1,1,1,509,1,513,509,0,0
0.126,14,1,1,1,1,513,1,518,507,0,0
0.127,15,1,1,1,1,511,1,506,509,0,0
0.128,0,1,1,1,1,511,1,506,510,0,0
0.129,1,1,1,1,1,510,1,499,510,0,0
0.13,2,1,1,1,1,513,2,510,509,0,0
0.131,3,1,1,1,1,513,1,512,508,0,0
0.132,4,1,1,1,1,511,0,513,509,0,0
0.133,5,1,1,1,1,511,1,505,508,0,0
0.134,6,1,1,1,1,512,1,504,507,0,0
0.135,7,1,1,1,1,514,1,507,509,0,0
0.136,8,1,1,1,1,512,1,524,509,0,0
0.137,9,1,1,1,1,512,1,527,508,0,0
0.138,10,1,1,1,1,510,1,505,509,0,0
0.139,11,1,1,1,1,511,1,494,507,0,0
0.14,12,1,1,1,1,511,1,496,510,0,0
0.141,13,1,1,1,1,510,1,498,511,0,0
0.142,14,1,1,1,1,512,1,499,509,0,0
0.143,15,1,1,1,1,511,1,501,509,0,0
0.144,0,1,1,1,1,511,1,504,508,0,0
0.145,1,1,1,1,1,511,1,517,506,0,0
0.146,2,1,1,1,1,510,1,534,509,0,0
0.147,3,1,1,1,1,513,1,521,508,0,0
0.148,4,1,1,1,1,510,1,505,508,0,0
0.149,5,1,1,1,1,512,1,498,508,0,0
0.15,6,1,1,1,1,512,1,519,507,0,0
0.151,7,1,1,1,1,512,1,520,506,0,0
0.152,8,1,1,1,1,512,1,520,510,0,0
0.153,9,1,1,1,1,510,1,516,508,0,0
0.154,10,1,1,1,1,510,1,533,510,0,0
0.155,11,1,1,1,1,515,1,521,508,0,0
0.156,12,1,1,1,1,512,1,509,508,0,0
0.157,13,1,1,1,1,512,1,511,509,0,0
0.158,14,1,1,1,1,511,1,515,508,0,0
0.159,15,1,1,1,1,511,1,494,510,0,0
0.16,0,1,1,1,1,511,1,477,510,0,0
0.161,1,1,1,1,1,512,1,472,511,0,0
0.162,2,1,1,1,1,512,2,483,507,0,0
0.163,3,1,1,1,1,511,1,489,510,0,0
0.164,4,1,1,1,1,512,0,498,509,0,0
0.165,5,1,1,1,1,511,1,500,511,0,0
0.166,6,1,1,1,1,511,1,503,510,0,0
0.167,7,1,1,1,1,511,1,504,509,0,0
0.168,8,1,1,1,1,512,1,509,507,0,0
0.169,9,1,1,1,1,512,1,500,508,0,0
0.17,10,1,1,1,1,512,2,511,507,0,0
0.171,11,1,1,1,1,510,1,506,506,0,0
0.172,12,1,1,1,1,512,0,505,510,0,0
0.173,13,1,1,1,1,515,1,508,507,0,0
0.174,14,1,1,1,1,511,1,508,505,0,0
0.175,15,1,1,1,1,510,1,510,508,0,0
0.176,0,1,1,1,1,508,1,519,511,0,0
0.177,1,1,1,1,1,510,1,523,507,0,0
0.178,2,1,1,1,1,512,2,531,509,0,0
0.179,3,1,1,1,1,512,1,517,510,0,0
0.18,4,1,1,1,1,512,0,524,511,0,0
0.181,5,1,1,1,1,512,1,528,511,0,0
0.182,6,1,1,1,1,511,1,522,508,0,0
0.183,7,1,1,1,1,511,1,519,508,0,0
0.184,8,1,1,1,1,511,1,514,508,0,0
0.185,9,1,1,1,1,511,1,513,508,0,0
0.186,10,1,1,1,1,511,2,515,507,0,0
0.187,11,1,1,1,1,511,1,522,506,0,0
0.188,12,1,1,1,1,511,1,516,510,0,0
0.189,13,1,1,1,1,513,1,519,507,0,0
0.19,14,1,1,1,1,513,1,518,507,0,0
0.191,15,1,1,1,1,512,1,519,511,0,0
0.192,0,1,1,1,1,511,1,513,508,0,0
0.193,1,1,1,1,1,513,1,520,509,0,0
0.194,2,1,1,1,1,512,2,520,506,0,0
0.195,3,1,1,1,1,511,1,526,509,0,0
0.196,4,1,1,1,1,511,1,522,507,0,0
0.197,5,1,1,1,1,513,1,515,508,0,0
0.198,6,1,1,1,1,511,1,513,510,0,0
0.199,7,1,1,1,1,513,1,503,507,0,0
0.2,8,1,1,1,1,512,1,495,508,0,0
0.201,9,1,1,1,1,512,1,496,507,0,0
0.202,10,1,1,1,1,513,2,493,508,0,0
0.203,11,1,1,1,1,511,1,501,507,0,0
0.204,12,1,1,1,1,512,1,505,510,0,0
0.205,13,1,1,1,1,511,1,496,510,0,0
0.206,14,1,1,1,1,512,1,496,510,0,0
0.207,15,1,1,1,1,513,0,496,509,0,0
0.208,0,1,1,1,1,509,1,496,508,0,0
0.209,1,1,1,1,1,510,1,508,509,0,0
0.21,2,1,1,1,1,510,2,506,507,0,0
0.211,3,1,1,1,1,511,1,512,508,0,0
0.212,4,1,1,1,1,512,1,518,507,0,0
0.213,5,1,1,1,1,510,1,521,510,0,0
0.214,6,1,1,1,1,512,1,519,509,0,0
0.215,7,1,1,1,1,511,0,518,509,0,0
0.216,8,1,1,1,1,513,1,517,509,0,0
0.217,9,1,1,1,1,512,1,524,509,0,0
0.218,10,1,1,1,1,511,2,514,510,0,0
0.219,11,1,1,1,1,512,1,508,505,0,0
0.22,12,1,1,1,1,511,1,508,506,0,0
0.221,13,1,1,1,1,510,1,505,507,0,0
0.222,14,1,1,1,1,512,1,505,508,0,0
0.223,15,1,1,1,1,511,0,510,508,0,0
0.224,0,1,1,1,1,513,1,507,508,0,0
0.225,1,1,1,1,1,511,1,504,511,0,0
0.226,2,1,1,1,1,511,2,505,509,0,0
0.227,3,1,1,1,1,512,1,519,507,0,0
0.228,4,1,1,1,1,511,1,529,509,0,0
0.229,5,1,1,1,1,511,1,528,510,0,0
0.23,6,1,1,1,1,511,1,516,509,0,0
0.231,7,1,1,1,1,511,1,518,506,0,0
0.232,8,1,1,1,1,512,1,521,505,0,0
0.233,9,1,1,1,1,512,1,522,508,0,0
0.234,10,1,1,1,1,514,2,517,508,0,0
0.235,11,1,1,1,1,512,1,505,506,0,0
0.236,12,1,1,1,1,511,1,504,508,0,0
0.237,13,1,1,1,1,513,1,510,510,0,0
0.238,14,1,1,1,1,511,1,511,509,0,0
0.239,15,1,1,1,1,509,1,508,508,0,0
0.24,0,1,1,1,1,511,1,507,508,0,0
0.241,1,1,1,1,1,513,1,508,507,0,0
0.242,2,1,1,1,1,512,2,511,510,0,0
0.243,3,1,1,1,1,511,1,521,510,0,0
0.244,4,1,1,1,1,511,1,519,510,0,0
0.245,5,1,1,1,1,511,1,512,510,0,0
0.246,6,1,1,1,1,511,1,512,507,0,0
0.247,7,1,1,1,1,511,1,511,507,0,0
0.248,8,1,1,1,1,512,1,510,509,0,0
0.249,9,1,1,1,1,512,1,509,509,0,0
0.25,10,1,1,1,1,511,1,504,509,0,0
0.251,11,1,1,1,1,512,1,507,508,0,0
0.252,12,1,1,1,1,513,1,505,507,0,0
0.253,13,1,1,1,1,513,1,506,507,0,0
0.254,14,1,1,1,1,510,1,495,506,0,0
0.255,15,1,1,1,1,511,1,497,507,0,0
0.256,0,1,1,1,1,511,1,495,508,0,0
0.257,1,1,1,1,1,510,1,496,510,0,0
0.258,2,1,1,1,1,512,1,487,509,0,0
0.259,3,1,1,1,1,512,1,496,510,0,0
0.26,4,1,1,1,1,511,1,505,508,0,0
0.261,5,1,1,1,1,511,1,502,509,0,0
0.262,6,1,1,1,1,510,1,507,509,0,0
0.263,7,1,1,1,1,512,1,512,508,0,0
0.264,8,1,1,1,1,512,1,518,507,0,0
0.265,9,1,1,1,1,512,1,511,508,0,0
0.266,10,1,1,1,1,511,1,511,509,0,0
0.267,11,1,1,1,1,511,1,506,510,0,0
0.268,12,1,1,1,1,510,1,512,508,0,0
0.269,13,1,1,1,1,510,1,511,509,0,0
0.27,14,1,1,1,1,512,1,506,509,0,0
0.271,15,1,1,1,1,513,1,511,509,0,0
0.272,0,1,1,1,1,511,1,514,510,0,0
0.273,1,1,1,1,1,512,1,518,509,0,0
0.274,2,1,1,1,1,511,2,518,507,0,0
0.275,3,1,1,1,1,512,1,514,508,0,0
0.276,4,1,1,1,1,513,1,510,507,0,0
0.277,5,1,1,1,1,511,1,517,507,0,0
0.278,6,1,1,1,1,511,1,510,508,0,0
0.279,7,1,1,1,1,511,1,503,508,0,0
0.28,8,1,1,1,1,512,1,508,509,0,0
0.281,9,1,1,1,1,509,1,509,508,0,0
0.282,10,1,1,1,1,512,2,511,508,0,0
0.283,11,1,1,1,1,510,1,505,508,0,0
0.284,12,1,1,1,1,510,1,500,508,0,0
0.285,13,1,1,1,1,513,1,505,508,0,0
0.286,14,1,1,1,1,512,1,511,508,0,0
0.287,15,1,1,1,1,511,1,513,508,0,0
0.288,0,1,1,1,1,512,1,517,508,0,0
0.289,1,1,1,1,1,512,1,514,509,0,0
0.29,2,1,1,1,1,513,2,514,509,0,0
0.291,3,1,1,1,1,512,1,508,510,0,0
0.292,4,1,1,1,1,511,1,515,508,0,0
0.293,5,1,1,1,1,511,1,516,508,0,0
0.294,6,1,1,1,1,512,1,514,508,0,0
0.295,7,1,1,1,1,512,0,505,509,0,0
0.296,8,1,1,1,1,511,1,519,506,0,0
0.297,9,1,1,1,1,513,1,520,507,0,0
0.298,10,1,1,1,1,511,2,520,510,0,0
0.299,11,1,1,1,1,512,1,518,510,0,0
0.3,12,1,1,1,1,512,1,512,510,0,0
0.301,13,1,1,1,1,511,1,501,508,0,0
0.302,14,1,1,1,1,510,1,499,508,0,0
0.303,15,1,1,1,1,513,0,508,509,0,0
0.304,0,1,1,1,1,511,1,503,508,0,0
0.305,1,1,1,1,1,511,1,514,507,0,0
0.306,2,1,1,1,1,509,2,510,509,0,0
0.307,3,1,1,1,1,512,1,515,509,0,0
0.308,4,1,1,1,1,511,1,513,509,0,0
0.309,5,1,1,1,1,511,1,509,509,0,0
0.31,6,1,1,1,1,512,1,505,509,0,0
0.311,7,1,1,1,1,512,0,510,508,0,0
0.312,8,1,1,1,1,511,1,512,508,0,0
0.313,9,1,1,1,1,512,1,508,509,0,0
0.314,10,1,1,1,1,512,2,504,507,0,0
0.315,11,1,1,1,1,511,1,511,510,0,0
0.316,12,1,1,1,1,510,1,507,510,0,0
0.317,13,1,1,1,1,512,1,521,511,0,0
0.318,14,1,1,1,1,511,1,515,508,0,0
0.319,15,1,1,1,1,511,1,520,506,0,0
0.32,0,1,1,1,1,512,1,516,506,0,0
0.321,1,1,1,1,1,512,1,514,506,0,0
0.322,2,1,1,1,1,511,2,519,508,0,0
0.323,3,1,1,1,1,512,1,510,508,0,0
0.324,4,1,1,1,1,511,1,497,508,0,0
0.325,5,1,1,1,1,510,1,492,508,0,0
0.326,6,1,1,1,1,510,1,488,508,0,0
0.327,7,1,1,1,1,511,1,493,508,0,0
0.328,8,1,1,1,1,511,1,510,508,0,0
0.329,9,1,1,1,1,511,1,512,512,0,0
0.33,10,1,1,1,1,512,2,518,509,0,0
0.331,11,1,1,1,1,512,1,520,509,0,0
0.332,12,1,1,1,1,511,1,509,508,0,0
0.333,13,1,1,1,1,512,1,513,508,0,0
0.334,14,1,1,1,1,512,1,511,509,0,0
0.335,15,1,1,1,1,511,1,506,508,0,0
0.336,0,1,1,1,1,511,1,503,509,0,0
0.337,1,1,1,1,1,511,1,506,508,0,0
0.338,2,1,1,1,1,511,2,511,507,0,0
0.339,3,1,1,1,1,511,1,519,507,0,0
0.34,4,1,1,1,1,510,0,510,508,0,0
0.341,5,1,1,1,1,510,1,511,507,0,0
0.342,6,1,1,1,1,511,1,514,510,0,0
0.343,7,1,1,1,1,512,1,510,509,0,0
0.344,8,1,1,1,1,511,1,503,508,0,0
0.345,9,1,1,1,1,509,1,513,508,0,0
0.346,10,1,1,1,1,511,2,515,510,0,0
0.347,11,1,1,1,1,513,1,516,508,0,0
0.348,12,1,1,1,1,513,0,518,507,0,0
0.349,13,1,1,1,1,511,1,521,508,0,0
0.35,14,1,1,1,1,513,1,518,508,0,0
0.351,15,1,1,1,1,512,1,522,507,0,0
0.352,0,1,1,1,1,511,1,521,508,0,0
0.353,1,1,1,1,1,512,1,521,508,0,0
0.354,2,1,1,1,1,511,2,517,510,0,0
0.355,3,1,1,1,1,511,1,522,509,0,0
0.356,4,1,1,1,1,512,1,511,511,0,0
0.357,5,1,1,1,1,511,1,507,510,0,0
0.358,6,1,1,1,1,511,1,507,508,0,0
0.359,7,1,1,1,1,511,1,506,508,0,0
0.36,8,1,1,1,1,509,1,501,510,0,0
0.361,9,1,1,1,1,511,1,508,513,0,0
0.362,10,1,1,1,1,510,1,514,509,0,0
0.363,11,1,1,1,1,511,1,510,509,0,0
0.364,12,1,1,1,1,512,1,509,511,0,0
0.365,13,1,1,1,1,513,1,511,508,0,0
0.366,14,1,1,1,1,512,1,513,506,0,0
0.367,15,1,1,1,1,511,1,512,507,0,0
0.368,0,1,1,1,1,512,1,515,510,0,0
0.369,1,1,1,1,1,511,1,512,508,0,0
0.37,2,1,1,1,1,511,1,508,507,0,0
0.371,3,1,1,1,1,510,1,513,507,0,0
0.372,4,1,1,1,1,515,1,510,506,0,0
0.373,5,1,1,1,1,511,1,506,510,0,0
0.374,6,1,1,1,1,513,1,503,506,0,0
0.375,7,1,1,1,1,511,1,515,509,0,0
0.376,8,1,1,1,1,509,1,515,508,0,0
0.377,9,1,1,1,1,510,1,512,509,0,0
0.378,10,1,1,1,1,511,2,512,509,0,0
0.379,11,1,1,1,1,512,1,521,511,0,0
0.38,12,1,1,1,1,512,0,521,511,0,0
0.381,13,1,1,1,1,510,1,517,508,0,0
0.382,14,1,1,1,1,512,1,530,509,0,0
0.383,15,1,1,1,1,511,1,519,510,0,0
0.384,0,1,1,1,1,512,1,528,508,0,0
0.385,1,1,1,1,1,513,1,524,506,0,0
0.386,2,1,1,1,1,511,2,518,505,0,0
0.387,3,1,1,1,1,511,1,497,505,0,0
