Time(s),SeqNum,Digital0,Digital1,Digital2,Digital3,Analog0,Analog1,Analog2,Analog3,Analog4,Analog5
0.0,0,1,1,1,1,511,1,507,506,0,0
0.001,1,1,1,1,1,511,1,510,509,0,0
0.002,2,1,1,1,1,511,1,511,507,0,0
0.003,3,1,1,1,1,513,1,507,509,0,0
0.004,4,1,1,1,1,511,1,511,510,0,0
0.005,5,1,1,1,1,511,3,511,510,0,0
0.006,6,1,1,1,1,511,1,512,506,0,0
0.007,7,1,1,1,1,510,1,515,508,0,0
0.008,8,1,1,1,1,511,0,513,508,0,0
0.009,9,1,1,1,1,512,1,510,507,0,0
0.01,10,1,1,1,1,512,1,513,508,0,0
0.011,11,1,1,1,1,511,1,504,506,0,0
0.012,12,1,1,1,1,512,1,506,510,0,0
0.013,13,1,1,1,1,513,3,510,509,0,0
0.014,14,1,1,1,1,512,1,507,508,0,0
0.015,15,1,1,1,1,511,1,505,508,0,0
0.016,0,1,1,1,1,511,0,503,509,0,0
0.017,1,1,1,1,1,512,1,503,509,0,0
0.018,2,1,1,1,1,513,1,510,508,0,0
0.019,3,1,1,1,1,511,1,512,507,0,0
0.02,4,1,1,1,1,511,1,513,510,0,0
0.021,5,1,1,1,1,510,3,515,509,0,0
0.022,6,1,1,1,1,512,1,513,509,0,0
0.023,7,1,1,1,1,511,1,514,507,0,0
0.024,8,1,1,1,1,509,1,518,506,0,0
0.025,9,1,1,1,1,511,1,511,507,0,0
0.026,10,1,1,1,1,512,1,513,507,0,0
0.027,11,1,1,1,1,510,1,512,508,0,0
0.028,12,1,1,1,1,512,1,507,509,0,0
0.029,13,1,1,1,1,510,3,510,510,0,0
0.03,14,1,1,1,1,511,1,518,509,0,0
0.031,15,1,1,1,1,513,1,507,510,0,0
0.032,0,1,1,1,1,513,1,506,508,0,0
0.033,1,1,1,1,1,511,1,512,505,0,0
0.034,2,1,1,1,1,511,1,511,507,0,0
0.035,3,1,1,1,1,511,1,509,508,0,0
0.036,4,1,1,1,1,512,1,507,508,0,0
0.037,5,1,1,1,1,512,3,510,507,0,0
0.038,6,1,1,1,1,512,1,507,507,0,0
0.039,7,1,1,1,1,511,1,506,509,0,0
0.04,8,1,1,1,1,510,1,510,510,0,0
0.041,9,1,1,1,1,509,1,514,510,0,0
0.042,10,1,1,1,1,511,1,510,507,0,0
0.043,11,1,1,1,1,511,1,511,508,0,0
0.044,12,1,1,1,1,513,1,511,511,0,0
0.045,13,1,1,1,1,512,2,508,510,0,0
0.046,14,1,1,1,1,510,1,510,508,0,0
0.047,15,1,1,1,1,512,1,511,509,0,0
0.048,0,1,1,1,1,512,1,515,508,0,0
0.049,1,1,1,1,1,512,1,513,508,0,0
0.05,2,1,1,1,1,511,1,514,508,0,0
0.051,3,1,1,1,1,511,1,506,507,0,0
0.052,4,1,1,1,1,511,1,506,508,0,0
0.053,5,1,1,1,1,512,2,504,510,0,0
0.054,6,1,1,1,1,511,1,505,510,0,0
0.055,7,1,1,1,1,511,1,506,510,0,0
0.056,8,1,1,1,1,511,1,508,511,0,0
0.057,9,1,1,1,1,512,1,511,509,0,0
0.058,10,1,1,1,1,511,1,516,508,0,0
0.059,11,1,1,1,1,512,1,522,509,0,0
0.06,12,1,1,1,1,512,1,522,508,0,0
0.061,13,1,1,1,1,512,2,517,506,0,0
0.062,14,1,1,1,1,512,1,510,505,0,0
0.063,15,1,1,1,1,511,1,511,509,0,0
